iter	Passed	Remaining
419	2838	3919
420	2844	3911
421	2849	3902
422	2855	3895
423	2861	3887
424	2866	3878
425	2872	3870
426	2877	3861
427	2886	3857
428	2890	3847
429	2896	3839
430	2901	3829
431	2904	3819
432	2909	3810
433	2916	3803
434	2926	3800
435	2931	3792
436	2936	3783
437	2942	3775
438	2948	3768
439	2953	3759
440	2958	3749
441	2964	3742
442	2972	3736
443	2979	3730
444	2987	3725
445	2991	3716
446	2999	3710
447	3008	3706
448	3013	3698
449	3018	3689
450	3023	3680
451	3028	3671
452	3033	3663
453	3039	3655
454	3045	3647
455	3050	3639
456	3055	3630
457	3061	3622
458	3066	3614
459	3072	3606
460	3077	3598
461	3082	3589
462	3087	3580
463	3092	3571
464	3097	3563
465	3102	3555
466	3108	3548
467	3114	3539
468	3118	3530
469	3125	3524
470	3130	3516
471	3137	3509
472	3146	3506
473	3153	3499
474	3158	3491
475	3164	3483
476	3169	3475
477	3173	3465
478	3178	3457
479	3184	3449
480	3188	3440
481	3193	3431
482	3198	3423
483	3203	3414
484	3207	3406
485	3213	3398
486	3218	3390
487	3222	3381
488	3227	3372
489	3231	3363
490	3236	3355
491	3241	3347
492	3246	3338
493	3251	3329
494	3255	3321
495	3260	3313
496	3265	3305
497	3270	3296
498	3274	3287
499	3278	3278
500	3283	3270
501	3287	3261
502	3292	3252
503	3296	3243
504	3307	3241
505	3311	3232
506	3315	3224
507	3322	3218
508	3326	3209
509	3333	3202
510	3337	3193
511	3341	3184
512	3345	3176
513	3350	3167
514	3355	3159
515	3359	3151
516	3363	3142
517	3367	3133
518	3371	3124
519	3375	3116
520	3380	3107
521	3384	3099
522	3388	3090
523	3392	3082
524	3396	3073
525	3400	3064
526	3404	3055
527	3408	3047
528	3412	3038
529	3417	3030
530	3420	3021
531	3426	3014
532	3430	3005
533	3434	2997
534	3438	2988
535	3442	2980
536	3447	2972
537	3451	2963
538	3455	2955
539	3460	2947
540	3464	2939
541	3468	2931
542	3473	2923
543	3477	2914
544	3481	2906
545	3485	2898
546	3490	2890
547	3494	2882
548	3515	2887
549	3518	2878
550	3522	2870
551	3527	2862
552	3530	2853
553	3534	2845
554	3537	2836
555	3541	2828
556	3545	2819
557	3549	2811
558	3552	2802
559	3556	2794
560	3560	2786
561	3564	2778
562	3568	2769
563	3572	2762
564	3577	2754
565	3582	2746
566	3585	2738
567	3589	2730
568	3594	2722
569	3597	2714
570	3601	2706
571	3606	2698
572	3610	2690
573	3614	2682
574	3620	2676
575	3624	2668
576	3628	2660
577	3632	2652
578	3636	2644
579	3640	2636
580	3644	2628
581	3647	2620
582	3652	2612
583	3657	2605
584	3664	2599
585	3672	2594
586	3679	2588
587	3688	2584
588	3693	2577
589	3698	2569
590	3703	2563
591	3708	2555
592	3713	2548
593	3718	2541
594	3722	2533
595	3728	2527
596	3733	2520
597	3738	2512
598	3743	2505
599	3748	2499
600	3753	2491
601	3758	2485
602	3763	2477
603	3766	2469
604	3771	2462
605	3776	2455
606	3781	2448
607	3787	2441
608	3809	2445
609	3814	2438
610	3819	2431
611	3824	2424
612	3831	2418
613	3837	2412
614	3842	2405
615	3849	2399
616	3854	2392
617	3858	2385
618	3863	2377
619	3867	2370
620	3871	2362
621	3875	2355
622	3878	2347
623	3882	2339
624	3886	2332
625	3891	2324
626	3896	2317
627	3901	2310
628	3906	2304
629	3912	2297
630	3916	2290
631	3921	2283
632	3927	2276
633	3931	2269
634	3938	2263
635	3946	2258
636	3951	2251
637	3956	2244
638	3960	2237
639	3966	2231
640	3971	2224
641	3988	2223
642	3993	2216
643	3997	2209
644	4001	2202
645	4010	2197
646	4014	2190
647	4019	2183
648	4024	2176
649	4028	2169
650	4032	2161
651	4036	2154
652	4041	2147
653	4045	2140
654	4049	2132
655	4053	2125
656	4057	2118
657	4060	2110
658	4064	2103
659	4067	2095
660	4071	2088
661	4076	2081
662	4079	2073
663	4083	2066
664	4087	2059
665	4091	2051
666	4094	2044
667	4097	2036
668	4101	2029
669	4105	2022
670	4108	2014
671	4112	2007
672	4118	2001
673	4122	1993
674	4125	1986
675	4131	1980
676	4135	1972
677	4138	1965
678	4141	1958
679	4146	1951
680	4149	1943
681	4155	1937
682	4159	1930
683	4163	1923
684	4166	1916
685	4170	1908
686	4173	1901
687	4176	1894
688	4180	1886
689	4183	1879
690	4187	1872
691	4191	1865
692	4195	1858
693	4198	1851
694	4202	1844
695	4205	1836
696	4209	1829
697	4212	1822
698	4216	1815
699	4220	1808
700	4223	1801
701	4227	1794
702	4230	1787
703	4233	1780
704	4237	1773
705	4241	1766
706	4244	1759
707	4248	1752
708	4251	1745
709	4255	1738
710	4258	1731
711	4262	1723
712	4265	1717
713	4269	1710
714	4273	1703
715	4277	1696
716	4281	1689
717	4284	1682
718	4288	1676
719	4292	1669
720	4296	1662
721	4299	1655
722	4303	1648
723	4306	1641
724	4310	1634
725	4313	1628
726	4317	1621
727	4320	1614
728	4324	1607
729	4327	1600
730	4331	1593
731	4335	1587
732	4339	1580
733	4342	1573
734	4345	1566
735	4349	1560
736	4354	1553
737	4358	1547
738	4362	1540
739	4366	1534
740	4370	1527
741	4374	1521
742	4378	1514
743	4382	1507
744	4385	1501
745	4389	1494
746	4393	1487
747	4396	1481
748	4399	1474
749	4403	1467
750	4407	1461
751	4411	1454
752	4414	1448
753	4419	1441
754	4422	1435
755	4425	1428
756	4428	1421
757	4432	1415
758	4435	1408
759	4438	1401
760	4441	1394
761	4444	1388
762	4448	1381
763	4452	1375
764	4455	1368
765	4459	1362
766	4463	1355
767	4467	1349
768	4472	1343
769	4480	1338
770	4488	1333
771	4496	1327
772	4502	1322
773	4509	1316
774	4513	1310
775	4516	1303
776	4520	1297
777	4523	1290
778	4527	1284
779	4532	1278
780	4537	1272
781	4540	1265
782	4543	1259
783	4546	1252
784	4550	1246
785	4553	1239
786	4556	1233
787	4559	1226
788	4562	1220
789	4567	1214
790	4571	1207
791	4574	1201
792	4578	1195
793	4581	1188
794	4584	1182
795	4588	1175
796	4591	1169
797	4595	1163
798	4598	1156
799	4601	1150
800	4605	1144
801	4608	1137
802	4612	1131
803	4615	1125
804	4618	1118
805	4621	1112
806	4624	1106
807	4629	1100
808	4633	1093
809	4636	1087
810	4639	1081
811	4643	1075
812	4646	1068
813	4650	1062
814	4653	1056
815	4656	1050
816	4660	1043
817	4665	1038
818	4671	1032
819	4677	1026
820	4682	1020
821	4686	1014
822	4692	1009
823	4696	1003
824	4700	997
825	4707	991
826	4714	986
827	4720	980
828	4736	977
829	4740	970
830	4744	964
831	4748	958
832	4754	953
833	4759	947
834	4763	941
835	4768	935
836	4772	929
837	4775	923
838	4779	917
839	4783	911
840	4787	905
841	4790	898
842	4794	892
843	4798	886
844	4801	880
845	4805	874
846	4826	871
847	4835	866
848	4840	860
849	4843	854
850	4847	848
851	4851	842
852	4855	836
853	4859	830
854	4863	824
855	4866	818
856	4871	812
857	4879	807
858	4882	801
859	4887	795
860	4890	789
861	4894	783
862	4898	777
863	4904	772
864	4909	766
865	4915	760
866	4919	754
867	4925	749
868	4933	743
869	4937	737
870	4941	731
871	4945	725
872	4949	719
873	4953	714
874	4956	708
875	4961	702
876	4965	696
877	4969	690
878	4973	684
879	4978	678
880	4982	672
881	4985	667
882	4992	661
883	4998	655
884	5003	650
885	5008	644
886	5011	638
887	5016	632
888	5020	626
889	5025	621
890	5030	615
891	5034	609
892	5039	603
893	5043	598
894	5049	592
895	5054	586
896	5059	580
897	5063	575
898	5067	569
899	5071	563
900	5075	557
901	5079	551
902	5084	546
903	5088	540
904	5092	534
905	5097	528
906	5102	523
907	5109	517
908	5113	511
909	5118	506
910	5123	500
911	5129	494
912	5136	489
913	5141	483
914	5147	478
915	5151	472
916	5157	466
917	5161	461
918	5167	455
919	5171	449
920	5176	444
921	5183	438
922	5187	432
923	5192	427
924	5196	421
925	5202	415
926	5207	410
927	5212	404
928	5217	398
929	5221	393
930	5225	387
931	5230	381
932	5234	375
933	5238	370
934	5242	364
935	5245	358
936	5250	352
937	5253	347
938	5257	341
939	5261	335
940	5265	330
941	5269	324
942	5273	318
943	5277	313
944	5281	307
945	5284	301
946	5288	295
947	5291	290
948	5295	284
949	5298	278
950	5302	273
951	5306	267
952	5310	261
953	5313	256
954	5316	250
955	5320	244
956	5324	239
957	5327	233
958	5331	227
959	5335	222
960	5339	216
961	5342	211
962	5346	205
963	5349	199
964	5353	194
965	5359	188
966	5364	183
967	5368	177
968	5372	171
969	5376	166
970	5379	160
971	5383	155
972	5387	149
973	5390	143
974	5394	138
975	5398	132
976	5402	127
977	5406	121
978	5410	116
979	5414	110
980	5417	104
981	5420	99
982	5423	93
983	5427	88
984	5431	82
985	5434	77
986	5437	71
987	5441	66
988	5444	60
989	5448	55
990	5451	49
991	5455	43
992	5459	38
993	5463	32
994	5466	27
995	5470	21
996	5474	16
997	5477	10
998	5481	5
999	5486	0
